residence_type,num_tenants,season,num_appliances,num_occupants,size_value,size_unit,solar_kwh,daily_kwh,monthly_kwh,hourly_kwh
apartment,14,autumn,93,77,223.20543671694074,m2,31.44053367712691,98.04219322311032,2898.471470963235,4.128273784359494
town house,21,winter,56,45,251.88959164786107,m2,45.65583313182157,87.19097232705177,2637.5525842528477,3.676002100108659
cottage,45,spring,5,70,122.89281627618878,m2,49.61893223267888,57.7893661018985,1732.0758834776539,2.4176121577484473
apartment,70,winter,43,53,256.4823412886143,m2,1.3933533094225514,129.80960580050416,3953.678956190507,5.396022864158116
town house,42,autumn,57,28,362.88631812761395,m2,4.747921782038955,72.83010606835525,2164.0026456064993,3.0137306729173727
town house,55,winter,26,88,30.353473366687798,m2,20.188044952603622,129.31787610279048,3784.059535149197,5.4092919388115295
detached house,53,summer,55,71,1234.6802201644668,ft2,55.05681795794097,88.01854716532011,2704.358498833124,3.7372910339656387
detached house,27,summer,65,77,107.67023842985711,m2,23.896414988603382,115.47458853661611,3539.9998273866177,4.8062960304598725
apartment,28,winter,26,95,75.837895122516,m2,53.25073291211545,122.11380478971915,3627.0242755630693,5.161899069867467
cottage,43,spring,82,25,91.4574487127277,m2,27.746034757905175,37.12192926043471,1127.7903237972068,1.5654046761907336
detached house,4,spring,46,10,261.58764178519345,m2,17.331175218694405,39.02618232095134,1170.1924984989455,1.6451254784654723
cottage,69,winter,97,59,731.913117506838,ft2,54.03871098374971,96.15554481664154,2934.854172862411,4.12673650739293
cottage,62,summer,9,33,303.256695337667,m2,33.64024613512065,60.94338799240915,1814.9102284037033,2.6219417438279695
town house,31,spring,33,44,3855.6167024380466,ft2,21.62905770180248,81.66122020010162,2455.657292901142,3.486481303890312
apartment,38,autumn,73,24,4013.1907252295027,ft2,2.664420217669008,78.1803268241272,2276.2696417226484,3.217632934753624
detached house,33,autumn,90,40,274.26505129828934,m2,6.6559879468934335,81.97380789689002,2405.9165034697107,3.525184454144899
cottage,66,spring,23,40,103.03667193443792,m2,8.35861965849183,57.10966546428009,1745.4730431271541,2.375458554639006
apartment,76,winter,99,36,61.559732949765916,m2,21.890177424636377,83.31368437111905,2479.6760990597827,3.4600289564756186
town house,11,winter,20,75,115.84923290858985,m2,36.43997734466064,109.54013282346168,3184.354757546255,4.456209780306908
detached house,42,autumn,42,60,385.9241587404657,m2,18.45540686531579,93.1817637483612,2733.512438244202,3.898888030742741
cottage,2,spring,32,48,4155.60019211181,ft2,3.931658025888012,100.33608849044477,2992.342839362568,4.1265026558633995
town house,46,autumn,43,12,171.30998704978657,m2,15.888524239040027,27.223204857349213,828.5607320273144,1.1547128938169
cottage,25,winter,91,58,1620.430666459573,ft2,24.52089905397661,120.17404369123207,3572.410201636233,4.949173563806118
apartment,34,spring,74,18,218.70391543585419,m2,59.53619572033975,23.287469593855953,710.0435994155677,1.0601962249670716
cottage,46,winter,80,32,1484.6086115942248,ft2,23.57921428505632,79.42171908439003,2439.5271472903846,3.336816993326755
cottage,33,summer,26,42,392.4751071125584,m2,5.351725124846638,108.90332422267343,3232.498225059669,4.651632088065539
detached house,40,autumn,95,15,111.85191430909364,m2,34.86688886843601,24.056528360394047,736.1478376898795,0.9512041467751264
town house,77,autumn,44,39,166.58279240762437,m2,55.17840435757738,26.508922827999804,775.4857015750115,1.1819974134020572
town house,82,spring,66,27,188.86722400906598,m2,47.201741931705,35.2967956391358,1052.9234289684468,1.3805641974456837
town house,1,winter,70,85,821.0035040852288,ft2,50.1730985512342,121.66140053683361,3551.919771110871,5.079628796191781
detached house,38,autumn,67,86,171.64518590494805,m2,55.69390776613982,78.7498947914862,2292.0200961354935,3.2496644603148273
apartment,85,winter,61,1,346.99036643773013,m2,38.19261020313228,47.189089205420004,1374.5735633018853,1.9438142234633158
detached house,54,winter,49,61,81.93357053900063,m2,59.69536383920992,75.2546628854139,2198.1513806461876,3.1097861326634706
apartment,21,autumn,65,65,246.08812180568927,m2,1.9968941927790484,103.82494504314162,3184.46180239078,4.280303567530002
apartment,60,autumn,91,38,180.4557410822062,m2,50.09038056861373,43.084550644947065,1296.3001378388547,1.7322051948735933
cottage,15,spring,39,47,93.09858866345826,m2,51.4206401713357,35.02346676511468,1082.0421736048663,1.437189774866538
apartment,3,winter,52,79,34.564380846206156,m2,55.002023445717896,98.69943323678292,2968.4842135082317,4.118277804730298
town house,64,summer,19,38,131.13702229126307,m2,28.690167458150945,56.11561423471305,1697.9138579845228,2.3963353109443446
cottage,52,winter,36,7,52.87671545826071,m2,47.265355417236,3.4806498879032057,102.22309490652016,0.15979459849368627
town house,76,winter,78,38,1823.4538645661823,ft2,11.70482394727079,99.69119510262914,2998.8269939697916,4.2121268060076
town house,35,winter,65,26,329.7776466087579,m2,36.18781351069286,81.80463028121355,2435.3733432577237,3.334617418119376
cottage,86,winter,22,39,296.2835465247166,m2,21.518709141807683,92.10535517065271,2842.635665961603,3.8160746618250925
town house,43,spring,55,24,380.5319733296538,m2,35.770419039718526,59.50880094371262,1836.9082908218036,2.5150836186115137
detached house,74,autumn,82,15,187.9957044147156,m2,40.53363042949802,24.961601610818633,733.7961332849028,1.0572262715736775
town house,11,autumn,13,99,291.8865174789855,m2,20.824120004770734,115.4977327397996,3492.681667027897,4.769346775092024
cottage,10,summer,7,13,276.1764371777475,m2,12.974297958172318,48.11473304528911,1456.7385751052072,2.051483988162008
detached house,79,winter,40,71,110.30713216855604,m2,19.301274531560082,121.60723446561636,3663.426470108445,5.040404443636391
town house,84,autumn,66,72,142.32552693608363,m2,39.83743470644656,75.50637829576331,2208.4603425077034,3.1072309175871187
detached house,95,autumn,32,62,226.0369273571713,m2,40.61245402036863,64.67553085457311,1960.1879706487316,2.7191611736320533
apartment,33,winter,83,92,3495.7235830079876,ft2,44.479016161445934,178.00652913270946,5446.6741409493325,7.417247182129606
town house,3,autumn,85,1,200.87071175128506,m2,7.592196514362359,37.77845132796851,1121.659298345223,1.5479565219139242
town house,98,autumn,54,31,114.2643683849451,m2,49.111043415267694,20.286431161061348,609.1833390313733,0.8174245387818676
detached house,61,autumn,38,19,397.5823054037368,m2,41.28886809245733,40.29078451789792,1177.8066394585765,1.6252928482554116
apartment,25,autumn,5,58,72.76415835085733,m2,1.8303046014383506,64.19398015067034,1981.1146497127422,2.6549617606416542
apartment,77,summer,83,64,4129.887041019034,ft2,20.135870966103045,145.21362513998267,4243.007906557905,6.105568185940316
cottage,91,spring,90,90,329.3471267192808,m2,28.002675354388625,139.90383607248702,4115.516759247271,5.841554026169701
town house,29,summer,45,38,340.3906021439052,m2,21.637049423208886,90.79622928566357,2687.2920895353946,3.831105924274849
detached house,77,autumn,52,24,324.1195057438548,m2,7.0450132925047875,63.99056222080588,1961.411867766793,2.6920768527506467
cottage,79,winter,76,93,107.02324828271014,m2,12.440777070300422,167.5101864874033,5092.529415948401,6.948978793293214
apartment,51,summer,70,68,2842.2707516037103,ft2,1.4736836946079523,144.22259622115962,4184.4785713333085,5.926817778809106
apartment,64,winter,14,77,309.9974306068448,m2,5.5846296811537695,158.1776372705321,4645.222144492229,6.544392168036981
detached house,27,winter,68,45,3292.721904326136,ft2,15.978007063472685,124.07779206390165,3784.4101739096745,5.136346212107693
town house,93,winter,93,45,130.4791871013087,m2,49.19821593814384,85.28903224909048,2542.2672410761506,3.516280533530854
cottage,99,autumn,76,39,1044.2523220193334,ft2,31.598250596232017,44.90620579740658,1304.6342686920943,1.92014290456826
cottage,99,summer,49,75,151.4055040483832,m2,25.46987344146636,115.61741379250775,3575.796153147342,4.865921664696974
town house,74,spring,53,22,207.54245773963495,m2,39.72977663751294,33.81929385551255,990.9887024565879,1.5197312259935216
cottage,5,autumn,26,98,2608.08452271251,ft2,32.490633619500315,106.20593688123425,3188.4013450613716,4.3870613114918084
cottage,37,spring,67,18,339.67163405808935,m2,7.890835605337574,68.9912612766355,2035.0098585660494,2.9545083018296996
town house,45,summer,25,47,314.54266425070796,m2,13.357401829451375,99.39218312321923,3028.9706820205474,4.220904323750674
cottage,96,summer,35,32,3015.7873749675573,ft2,13.351341659436457,79.4150354045926,2426.403488044208,3.297346620622749
town house,55,spring,27,65,127.49103838882141,m2,35.99715075674053,65.92516331023712,1964.2033759419503,2.770559574440225
detached house,54,spring,34,69,207.18578460592903,m2,27.697461971360788,89.58510224670817,2715.9425184799643,3.794749256069901
apartment,15,spring,37,92,154.1112734273456,m2,23.25510375365122,112.32986253140388,3461.7982349767867,4.677464707675382
apartment,80,spring,9,79,1258.5538296254979,ft2,33.39835037290728,81.82619154419308,2506.3050087850615,3.4026050588139793
detached house,34,summer,72,25,363.7211214049858,ft2,58.20694714695343,20.249858901710507,604.0491486315071,0.8123772498487319
cottage,10,spring,45,21,155.60092911115552,m2,18.851607363352606,42.62890530425223,1273.877535614624,1.6582024617440247
detached house,99,winter,95,89,124.76301905440995,m2,31.211726018011035,161.60304865267258,4973.132876660678,6.736983941352448
cottage,20,summer,19,49,241.60386097772215,m2,28.822200938646937,79.65950959327448,2315.60201905558,3.283652766680432
detached house,2,summer,67,10,53.05165500497351,m2,42.99858190475069,8.361540030033717,242.86614062107793,0.2946300700705635
cottage,8,spring,18,83,1400.3019362429027,ft2,43.817416078974965,80.26273623079477,2360.6547451281676,3.3653902587903315
cottage,46,autumn,55,65,46.56471129571368,m2,43.74424328478243,52.08669046797156,1596.7301684338133,2.0977131574577603
cottage,11,spring,50,3,267.32462466997134,m2,12.091174796324689,38.52925810296291,1129.1548658868862,1.6456897488541522
apartment,85,summer,45,79,240.2301366703912,m2,26.945588181671265,128.3910528065817,3796.595146867725,5.373807166037264
town house,52,autumn,66,61,154.8676085375551,m2,48.67048146174825,58.29093832184131,1763.775219767723,2.4087794361585253
apartment,33,autumn,83,62,909.6993871150685,ft2,22.891810232438626,74.72499828917769,2194.560037719413,3.110376082740181
town house,1,autumn,32,87,384.430338124432,m2,59.055307037395735,89.30255314401131,2643.912167521773,3.6614286596260923
cottage,48,winter,85,50,246.22520553378695,m2,21.88720450753195,123.07234445054924,3684.0260770276295,5.165531282274487
apartment,16,spring,19,47,3027.5873290600425,ft2,29.860009640518093,68.16231690296264,2007.8041047633128,2.849464749676007
town house,98,spring,30,62,2439.0928033507766,ft2,28.471535688152812,85.80770220562934,2658.736839682391,3.5884134229640328
apartment,30,winter,32,20,328.41730162909585,m2,26.019828148154552,67.8535402529287,1989.9334491659113,2.8523253628556855
apartment,48,summer,96,16,3892.884173092418,ft2,50.7378820991773,63.32826963381708,1944.1699116850466,2.606557130714459
detached house,2,spring,12,85,171.60290113112302,m2,9.316514252880811,104.80635309026655,3137.9231374731894,4.290978465015059
detached house,14,winter,40,22,3071.0457738213613,ft2,34.059882384838986,63.9298145541828,1870.4743278694318,2.7116081918365813
detached house,21,winter,43,51,115.05836928216688,m2,37.11609464132542,77.0535619352815,2252.812857021964,3.245001001317349
detached house,6,winter,81,27,271.1863674499542,m2,51.073278484162245,69.73012676903913,2091.945091123088,2.8786540085464174
town house,73,spring,49,24,177.68758309132448,m2,36.5520095955665,32.351317236417096,961.0618862894418,1.368427061473881
apartment,95,spring,97,60,32.50919177848284,m2,57.60122086726684,56.46794217224188,1664.0653411145893,2.4157295957793092
apartment,99,winter,75,81,383.5453113163697,m2,52.33006273565574,165.7335330505071,5124.1292008304745,6.962498917258659
town house,27,winter,71,45,351.323371849326,m2,20.924396901163888,124.0959088593716,3713.7884170435677,5.142434927318884
cottage,79,winter,76,14,137.6095236280305,m2,51.59438671745007,31.788392472057083,980.9141977060955,1.250078300730666
apartment,51,autumn,17,25,399.1702062661584,m2,57.50866884560734,26.501151953639816,777.2257699771528,1.0383539077551547
detached house,5,autumn,45,17,147.33723958591764,m2,15.43183085547518,33.68968520711091,989.362699108548,1.3881505829818659
cottage,10,winter,59,89,199.77234898985768,m2,36.61252839986451,153.71252788396498,4640.897154762198,6.477804518496232
apartment,55,summer,21,32,3713.1829939241393,ft2,16.908234740528133,79.50394111332062,2348.5266466833527,3.2762419424479576
apartment,43,autumn,12,38,1536.0176742556766,ft2,38.97403674493305,26.502842938947534,778.3852031109404,1.0744687298056794
apartment,1,winter,14,8,196.69990522337503,m2,5.618568272821314,43.07047750182639,1257.2001370773567,1.7637576743368504
apartment,94,spring,79,45,276.2672518356045,m2,44.05128131214345,72.55042080708958,2115.029141857645,2.996347660480966
detached house,74,winter,66,92,78.27299526579844,m2,25.18918971572057,151.23677387212553,4613.679955876449,6.300970902467565
apartment,51,autumn,29,41,186.26963641593557,m2,35.23843072058621,41.097637760549915,1215.023972613715,1.6483990646286588
cottage,99,autumn,74,66,1555.1884957837938,ft2,1.5517441514098884,98.31099286565774,3043.397509904974,4.150509367218753
town house,98,winter,70,19,280.4064931699827,m2,41.726487312619696,64.64418718503126,1898.3568612504953,2.68626674547582
apartment,98,winter,82,15,80.30867432233757,m2,29.759481248114604,41.52825135690169,1233.7583884997532,1.8543005352738373
detached house,26,summer,92,74,116.11064726734683,m2,37.51506046127052,112.9372268121094,3359.8618571357547,4.647039233910391
town house,89,winter,89,7,293.2091953884186,m2,18.940078342570445,75.05355661718984,2251.629633792344,3.206724834307489
town house,51,autumn,19,45,945.1042140503803,ft2,8.749210405284863,51.994743050968836,1598.3845250751835,2.236014897023026
cottage,73,winter,77,32,186.1471270287592,m2,26.12573651976852,83.90307714540403,2573.2688158673373,3.4753773472828855
detached house,86,spring,40,2,293.7658671742689,m2,56.6387472771818,6.0610437478712225,175.89096020213293,0.2327904588190409
town house,17,spring,41,54,313.22330223910194,m2,13.66764159922832,98.70498492609224,2943.2355932867595,4.0666428144473485
town house,45,winter,65,97,700.7958419912956,ft2,40.5503407221151,145.75849085731807,4468.353851745856,6.027779381126275
cottage,13,autumn,61,7,345.2383754852069,m2,2.9906126420724832,55.43368406391554,1607.5987682866933,2.309706538507738
cottage,28,autumn,42,82,3206.2447005811177,ft2,43.0859871160157,89.32215490991892,2685.6741654591306,3.722791253792273
detached house,42,summer,100,54,1674.208559643134,ft2,14.306231208089583,112.41642007794042,3318.414823155828,4.603899739900459
detached house,86,spring,18,73,312.6070553621888,m2,27.091023613759948,101.67872552541773,3032.622600284939,4.351288829725366
cottage,87,spring,10,10,3223.4758853432486,ft2,22.065186035686445,30.92372864165605,922.7829075797555,1.2755128505441824
detached house,39,spring,3,87,252.32975380810265,m2,6.770420599041329,119.89987530342921,3571.0390009826365,4.999108751503743
cottage,33,autumn,82,2,236.63803416016242,m2,20.734917150706544,32.297677387984066,994.2484788382426,1.3144246861619973
town house,54,autumn,41,91,301.8402908928466,m2,21.007497497591135,114.55409535726034,3444.976972195742,4.759736829597923
cottage,92,spring,44,66,399.72616363101815,m2,31.326338341785096,107.59396147629174,3314.7002631882065,4.465187822616612
town house,98,winter,65,34,244.06433224687757,m2,58.34109197639924,69.29903077646868,2110.396981420646,2.887313094394932
town house,23,winter,44,1,329.22561255203175,m2,28.20105135063782,43.35780509001929,1287.8239388115287,1.8058457165627315
apartment,19,autumn,58,62,305.38127540676567,m2,54.86556933795803,68.00214580712063,2039.1890072820806,2.8736660593904126
detached house,71,autumn,6,9,346.64910875251553,m2,27.69345951375332,25.589475773628237,762.0473486723117,1.0775891540894487
apartment,31,winter,16,61,383.1741987121312,m2,6.452598052496368,145.08208417886937,4447.803007543822,6.080300991806198
apartment,20,spring,94,78,101.44078676050162,m2,13.809173716556412,110.47698701475822,3245.2831055022148,4.602717251191321
cottage,4,autumn,46,27,91.22006546619303,m2,24.451060563456014,28.921190403159976,892.8788375139271,1.2166122278869602
cottage,41,spring,17,24,2658.1507218659603,ft2,19.522126378211084,45.244351905406596,1364.608065401694,1.873116045257778
apartment,40,summer,37,23,2112.301790771091,ft2,51.9497572519495,32.74212571585287,989.5821574327251,1.4144108248774188
town house,57,autumn,34,23,241.1673963800926,m2,40.71873613179308,27.205650043430683,817.08368733391,1.149699873285408
town house,21,spring,28,12,325.27581175963815,m2,34.69850711512041,33.250299646281945,1001.1330377712789,1.3775254092027693
town house,72,spring,30,25,374.73435761822117,m2,29.473773074201432,54.847260407624034,1663.8108866857203,2.2759070102567684
cottage,69,spring,73,66,1985.3379904143733,ft2,23.83623709734401,96.9996762724767,2940.0670272855095,4.036191210957513
town house,47,autumn,11,31,295.63507885114103,m2,36.73154638992068,38.44615295374704,1131.4046991252528,1.6034452359233116
detached house,19,spring,31,79,1106.6994553601226,ft2,7.47642992666286,100.61702227785368,3035.100435341922,4.189557873182957
town house,51,spring,47,82,227.7842212611737,m2,9.751991293014338,123.67722826683712,3674.3580502472373,5.125275761690979
detached house,68,spring,55,77,38.06776777879237,m2,18.186981203802,93.6790463853636,2836.045128307925,3.9415386271535633
detached house,38,summer,89,54,2329.178926829552,ft2,10.271076987664465,120.22945112716795,3618.385784476059,5.050964263259407
detached house,27,winter,93,32,231.77448987643496,m2,40.625923141489,84.14619793854173,2470.478506753221,3.5952844226676097
cottage,51,spring,30,93,3251.937765604798,ft2,1.4860992843747178,142.26206495143242,4334.6494121894575,5.897404554110779
apartment,36,spring,54,21,270.3093723765869,m2,9.610649500005007,63.83387890015583,1909.5283702288161,2.6930668904307646
apartment,41,summer,3,47,162.60679169314656,m2,54.1564865699282,45.34474307463049,1365.007500182465,1.7939074289621364
town house,35,spring,62,46,32.12043326385489,m2,59.85258889332521,29.294799104342914,888.9590492198286,1.2620687825987158
apartment,31,summer,16,75,72.72977324049111,m2,29.255428669685585,90.63234883369816,2746.680720891913,3.7035187623203973
detached house,72,autumn,8,55,390.03244180145737,m2,29.722204381305495,74.50145804005957,2272.134861291587,3.0550108631572015
cottage,47,winter,68,80,371.26326857666317,m2,46.40392573424629,161.86952530860702,4761.149842293995,6.761174820976084
apartment,47,autumn,18,92,150.28447034002377,m2,2.171374657234504,110.37996320564231,3225.3888935999366,4.568090181797314
cottage,66,winter,48,40,125.77558777183845,m2,25.621288914058688,77.83833452868346,2361.487348518348,3.2053462631949987
detached house,37,summer,11,88,191.47402866531385,m2,5.98967290889759,137.41305404631268,4049.8333918036433,5.701303117471444
town house,11,winter,75,17,285.27781095646696,m2,24.055582959389156,73.30258122640552,2142.5765209373903,3.090755517362823
apartment,86,winter,77,92,162.02623888345025,m2,59.029310467732486,144.51111412823056,4228.752862321253,5.974651902188719
town house,6,winter,58,18,54.89872366052755,m2,45.217996848201665,19.846548255776604,587.9659049242907,0.8242317674462317
town house,58,autumn,84,86,1927.1087500341932,ft2,59.10275254111308,81.48363493454828,2524.654240614016,3.3762186413792117
detached house,27,autumn,44,40,126.41792795812981,m2,44.7629175402361,30.28780039725817,887.872350290699,1.3029862217855412
town house,22,autumn,19,97,150.22410414814834,m2,36.4866043083953,90.43139534166912,2676.5046206867155,3.810370893607022
detached house,5,autumn,16,13,971.918893268276,ft2,45.2532499756346,3.273895553229463,100.97174593476133,0.04464822484608867
town house,91,winter,22,47,273.77082569488954,m2,39.545500378259085,86.28369653223024,2668.4627606088598,3.6474094931144756
apartment,43,autumn,21,91,224.85344530073323,m2,27.843961794114502,101.5569997131948,2991.634282008312,4.201003859393509
apartment,35,autumn,33,5,130.2193533992811,m2,17.5527800403126,13.424141396230235,412.9387434864774,0.5711538347727602
apartment,75,autumn,22,27,234.9291180833093,m2,31.210683560061295,34.479980387380046,1009.4992072392387,1.3897204124550038
town house,4,summer,60,9,212.30190345187808,m2,15.50960843408583,44.84023586859008,1368.6617847995817,1.8868998913267425
cottage,57,winter,15,33,3493.005574948391,ft2,29.200580786528718,81.61746094471995,2369.0297534840774,3.5282949870443865
detached house,50,spring,63,40,4130.266833749983,ft2,8.768124355265158,97.89758899609721,2918.6442435691733,4.0854244862349685
town house,56,autumn,34,62,78.34808832210271,m2,33.923705938202446,54.025087409948824,1593.4521472134452,2.2280529228655497
detached house,13,spring,69,26,357.0479871959537,m2,14.717021448726285,73.16202755121478,2224.7121064416,3.036809752900172
town house,96,winter,52,16,3129.8759691873647,ft2,17.61648623649418,73.54941954896228,2135.2950052026576,2.9911076500115272
cottage,24,summer,91,17,286.24481176022476,m2,29.941688506943304,68.073906629428,2037.4386429126396,2.9088609405343897
town house,68,autumn,44,94,168.49133194271474,m2,9.751575181294845,114.52656746039018,3480.8584236594406,4.787584466229422
cottage,75,summer,30,96,157.24603232202077,m2,57.74279301815515,115.96398206884791,3373.7876461648134,4.779387690887105
town house,35,summer,59,23,32.08660938433128,m2,26.816658923572568,36.11565600873598,1112.1744168133098,1.4540030858575614
apartment,14,autumn,66,20,393.4158036158039,m2,21.136753777605065,58.56379547860161,1740.6562510677804,2.4409222638991754
town house,30,autumn,44,6,254.40715797802804,m2,1.7517963055548558,43.335184707173454,1271.044007240035,1.8522324657991516
town house,81,spring,56,96,178.8615908518524,m2,50.59526178673397,105.99200223837443,3121.5629316487275,4.358783931162086
cottage,91,summer,48,71,231.19446410010607,m2,37.55003491838306,112.08982145260718,3326.5806322180724,4.726079694285325
cottage,94,spring,31,77,484.3223858822332,ft2,24.984309290477835,82.477837766709,2424.5803941646677,3.4319948960150297
town house,23,summer,32,30,94.25085345791747,m2,14.731967960308543,51.236716371060616,1538.1855323596435,2.0883510128771707
cottage,61,summer,91,65,260.64317223645895,m2,44.70824512052311,112.04248973948503,3391.0626976301132,4.645052551149894
town house,16,winter,68,6,220.2768399829394,m2,56.72847454450003,23.905505128130557,713.9823800969791,1.083490407528592
apartment,72,spring,10,68,321.2176844832242,m2,22.84858233912121,95.60398641633128,2854.167557789427,3.9140887671865365
cottage,42,winter,97,58,2946.458084935629,ft2,8.092564102753876,156.26669865848254,4776.041467565333,6.474517796306132
town house,72,summer,72,34,2718.224385782733,ft2,6.551684836364242,98.87235758466898,2926.8228341204676,4.16731074525962
apartment,69,summer,6,72,331.64831059296597,m2,0.38171834003315475,140.166586029639,4239.413757528406,5.851097270074307
town house,100,autumn,73,65,55.25734905420323,m2,44.63732644630332,57.202104827956134,1761.015028232331,2.3438589935852696
detached house,49,autumn,59,44,285.62811467957556,m2,58.88372315410023,42.933094427708575,1264.0803327110707,1.8371185963060985
detached house,35,spring,92,19,294.7685639169357,m2,59.56906516521409,34.91909189219091,1055.946405985057,1.5055769488330804
town house,53,autumn,49,3,131.81051338160407,m2,47.05183526057553,3.2139628596390493,99.29841511569641,0.1504846525775311
cottage,17,summer,52,94,102.39036550033593,m2,9.731026697762616,144.06146757855615,4330.428723668204,5.97194131972733
detached house,12,spring,32,29,109.1254159187197,m2,58.66256735478729,6.944898965576648,214.97098198327956,0.26645555924064246
town house,52,summer,33,31,103.31211946983787,m2,19.668806580117057,52.57335639865385,1557.2276579228019,2.204790319875497
apartment,83,summer,62,69,223.79941063433,m2,20.017176569552618,127.75599439243813,3849.107692155005,5.257569979957586
detached house,54,autumn,83,26,80.18173520535655,m2,41.240217173546334,27.832541715359866,824.4575407859737,1.22607848219665
apartment,79,autumn,90,38,273.9357687251596,m2,2.942951224467083,87.61926868994328,2541.6105786170606,3.7358133165147622
town house,18,winter,78,72,68.87895581104473,m2,49.546183794453555,109.21566541936917,3385.0976327983053,4.538854983315035
cottage,45,spring,61,60,39.949166914794795,m2,59.83783658926464,45.11920012527729,1330.1194401367645,1.897771896508094
apartment,62,spring,51,66,148.13738970497232,m2,46.50418668539504,67.5283591764663,2089.746376866319,2.872971734495229
apartment,35,autumn,34,1,100.98809778122519,m2,46.90058947243999,0.3418215622500204,10.359266707260728,0.11202060702213529
detached house,2,spring,77,46,395.8049605017305,m2,23.41882023399306,98.98139576498014,3049.4056977696346,4.202073890315374
town house,8,winter,32,48,1529.645234581988,ft2,3.955283340939415,98.81671917762904,3056.836460638103,4.030586423399937
cottage,93,summer,27,64,1207.3206659573973,ft2,47.560046054065396,73.53067793049031,2215.8953929663357,3.048000562687387
detached house,61,spring,87,16,102.80483469470938,m2,35.829485214288034,26.66321301478622,826.5431439530852,1.1360016215235869
cottage,27,summer,59,16,168.32557477729142,m2,54.560321347325065,20.905006696771228,638.3272679904345,0.8463310808537046
town house,26,winter,36,77,2735.8006875201427,ft2,6.957774010009952,159.69072298507234,4798.327616912473,6.742918461630032
apartment,4,spring,87,68,319.3197517671245,m2,18.307383785646497,123.36814835563226,3739.2745828105076,5.221808273458142
apartment,95,summer,97,82,164.8932116649353,m2,21.639369223403186,145.29239422077063,4269.931733671349,6.0130532521358395
town house,11,autumn,32,28,261.6092626158321,m2,40.996782512681484,32.194048474158905,934.3377752495036,1.3332986854280016
town house,76,autumn,53,100,208.36216236337336,m2,47.2647097861893,98.48232099412017,2906.56573074732,4.0659523346121915
apartment,25,spring,49,28,343.2032781137574,m2,57.661224515065214,41.394471790388664,1236.4504600514829,1.7150132357275525
detached house,34,summer,71,66,240.54545754862102,m2,17.724429499449265,129.78105245145252,3822.844330566513,5.396272234677186
